,RK,Team,Year,Conf,playoffs_y_n,G,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,W%,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm,W%_scalnorm
0,1,Sacramento Kings,2000,West,1,82,44,38,241.5,40,88.9,0.45,6.5,20.2,0.322,33.4,68.7,0.487,18.5,24.6,0.754,12.9,32.1,23.8,9.6,4.6,16.2,21.1,105,0.536585366,-0.007994053,0.463662303,0.463662303,-0.003993014,0.110746188,0.463662303,-0.160763559,0.076197216,0.024245494,0.160763559,-0.032648335,-0.032648335,0.007994053,0.041352153,0.119958177,0.095202937,0.160763559,-0.055228036,0.065260587,-0.095202937,0.463662303,0.007994053
1,2,Detroit Pistons,2000,East,1,82,42,40,241.8,37.1,80.9,0.459,5.4,14.9,0.359,31.8,66,0.481,23.9,30.6,0.781,11.2,30,20.8,8.1,3.3,15.7,24.5,103.5,0.512195122,0.048547453,0.028464225,-0.059251487,0.070615078,0.059251487,0.038329165,0.009385023,-0.018846228,-0.082879869,0.096404707,0.544339823,0.544339823,0.103806944,-0.120434761,-0.028464225,-0.076615968,0.033359653,-0.544339823,0.033359653,0.089455577,0.188736515,-0.0046878
2,3,Dallas Mavericks,2000,West,0,82,40,42,240.6,39,85.9,0.453,6.3,16.2,0.391,32.6,69.8,0.468,17.2,21.4,0.804,11.4,29.8,22.1,7.2,5.1,13.7,21.6,101.4,0.487804878,-0.204872318,0.204872318,0.204872318,0.03801488,0.149270137,0.110688709,0.252063635,0.08659288,0.064836672,-0.03801488,-0.138637485,-0.726983195,0.252063635,-0.102323069,-0.064836672,-0.03801488,-0.102323069,0.006260707,-0.252063635,-0.128751561,0.204872318,-0.03801488
3,4,Indiana Pacers,2000,East,1,82,56,26,240.6,37.2,81,0.459,7.1,18.1,0.392,30,62.8,0.478,19.9,24.5,0.811,10.3,31.9,22.6,6.8,5.1,14.1,21.8,101.3,0.682926829,-0.145330526,0.041103957,-0.045993269,0.06689987,0.515700954,0.12317567,0.515700954,-0.12317567,-0.159805256,0.045993269,0.078519384,-0.045993269,0.515700954,-0.178806688,0.098345441,0.008891257,-0.133421557,0.004441165,-0.078519384,-0.06689987,0.12317567,0.145330526
4,5,Milwaukee Bucks,2000,East,1,82,42,40,242.1,38.7,83.3,0.465,4.8,13,0.369,33.9,70.2,0.483,19,24.2,0.786,12.4,28.9,22.6,8.2,4.6,15,24.6,101.2,0.512195122,0.307793042,0.307793042,0.067384662,0.363153898,0,-0.011097644,0.140268756,0.264594223,0.140268756,0.363153898,-0.022217594,-0.153493366,0.363153898,-0.011097644,-0.307793042,0.022217594,0.114928606,-0.153493366,-0.067384662,0.264594223,0.264594223,-0.011097644
5,6,Los Angeles Lakers,2000,West,1,82,67,15,241.5,38.3,83.4,0.459,4.2,12.8,0.329,34.1,70.6,0.482,20.1,28.9,0.696,13.6,33.4,23.4,7.5,6.5,13.9,22.5,100.8,0.817073171,-0.010503262,0.107891468,0.042896141,0.079028968,-0.031855779,-0.021091784,-0.116175693,0.17167928,0.085744873,0.145507698,0.116175693,0.17167928,-0.211224746,0.125085662,0.609198707,0.054331952,-0.042896141,0.145507698,-0.145507698,-0.054331952,0.107891468,0.609198707
6,7,Orlando Magic,2000,East,0,82,41,41,240.9,38.6,85.5,0.452,3.6,10.6,0.338,35.1,74.9,0.468,19.2,26.1,0.735,14,31,20.8,9.1,5.7,17.6,24,100.1,0.5,-0.181267395,0.226480563,0.263456778,0.038188862,-0.263456778,-0.226480563,-0.120063645,0.382444308,0.382444308,-0.057678191,0.038188862,0.077667912,-0.143090143,0.310843141,0.057678191,-0.155249984,0.244041747,0.143090143,0.382444308,0.077667912,0.167942776,-0.038188862
7,8,Houston Rockets,2000,West,0,82,34,48,241.8,36.6,81.3,0.45,7.1,19.8,0.358,29.5,61.5,0.48,19.2,26.2,0.733,12.3,31.5,21.6,7.5,5.3,17.4,20.3,99.5,0.414634146,0.048139833,-0.00464844,-0.038007341,-0.00464844,0.53976937,0.187151822,0,-0.187151822,-0.53976937,0.064293349,0.018687989,0.058753992,-0.082183983,-0.02822523,0.070022171,-0.043022331,-0.038007341,0.023431877,0.13964851,-0.53976937,0.070022171,-0.058753992
8,9,Boston Celtics,2000,East,0,82,35,47,240.6,37.2,83.9,0.444,5.1,15.4,0.331,32.2,68.5,0.469,19.8,26.5,0.745,13.5,29.5,21.2,9.7,3.5,15.4,27.1,99.3,0.426829268,-0.181765578,0.051408914,0.070207236,-0.057523999,0.022330943,0.070207236,-0.098204566,0.045416325,0.022330943,0,0.083671984,0.098204566,-0.033727332,0.11423018,-0.11423018,-0.070207236,0.644989628,-0.223634372,0.005554586,0.644989628,0.070207236,-0.051408914
9,10,Seattle SuperSonics,2000,West,1,82,45,37,241.2,37.9,84.7,0.447,6.7,19.6,0.339,31.2,65.1,0.48,16.6,23.9,0.695,12.7,30.3,22.9,8,4.2,14,21.7,99.1,0.548780488,-0.071405699,0.121903306,0.164393671,-0.056376199,0.225629273,0.225629273,-0.056376199,-0.095366171,-0.141796224,0.095366171,-0.248101654,-0.121903306,-0.800638619,0.049066824,0,0.041866416,0.027719849,-0.207140302,-0.141796224,-0.121903306,0.071405699,0.034756448
