,RK,Team,Year,Conf,playoffs_y_n,G,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,W%,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm,W%_scalnorm
0,1,Phoenix Suns*,2022,West,1,82,,,241.5,41.6,90,0.462,15.3,41.5,0.369,26.3,48.5,0.542,17.9,23.1,0.773,10.6,36.4,24.5,6.3,5,12.8,19,116.4,0.597014925,-0.03531389,0.090771673,0.110640485,0.03531389,0.369650388,0.369650388,0.142659724,-0.277340345,-0.369650388,0.256538413,0.02642704,0.008786993,0.008786993,0.110640485,0.256538413,0.03531389,-0.301538182,0.008786993,-0.301538182,-0.221480192,0.301538182,0.044268799
1,2,Memphis Grizzlies*,2022,West,1,82,,,240.8,43.5,91.2,0.477,13.7,38.6,0.356,29.8,52.6,0.567,17.8,24,0.742,9.5,42.2,25.9,7.4,6,14.9,19.2,118.6,0.815384615,-0.088523658,0.422391888,0.120522123,0.132287361,0.088523658,0.102536117,-0.003512083,0.05701982,-0.048352041,0.422391888,0.003512083,0.052611029,-0.102536117,-0.07674454,0.422391888,0.061603352,-0.03244083,0.120522123,0.021307736,-0.071423197,0.422391888,0.422391888
2,3,Golden State Warriors*,2022,West,1,82,,,241.2,41.1,90.7,0.454,15.4,44.3,0.348,25.7,46.4,0.554,20.5,26,0.787,10.4,34.6,21.5,8.5,5.1,14.7,21.6,118.1,0.625,-0.053364673,0.021351949,0.080118129,-0.058348559,0.509719081,0.509719081,-0.074339506,-0.178291627,-0.509719081,0.145439407,0.178291627,0.178291627,0.039147792,0.008484313,0,-0.178291627,0.106825436,0.03460002,-0.004238187,0.068808353,0.178291627,0.053364673
3,4,Miami Heat*,2022,East,1,82,,,240.8,41.9,90.9,0.461,12.6,33.8,0.372,29.3,57.1,0.513,17.3,21.7,0.798,10.1,35.4,20.2,6.1,6.2,13,21.4,113.6,0.439393939,-0.165807341,0.115384839,0.143744717,0,0.067954654,0.006578232,0.192053076,0.033141076,0.115384839,-0.124354035,-0.026437137,-0.106799751,0.143744717,-0.026437137,0.046758871,-0.791152077,-0.276732414,0.276732414,-0.192053076,0.060762601,0.106799751,-0.01978415
4,5,Dallas Mavericks*,2022,West,1,82,,,243,40.6,90.6,0.449,12,36.1,0.333,28.6,54.5,0.525,18.5,23.4,0.79,9.9,33.4,24,7.8,5.1,16.2,23.1,111.8,0.298507463,0.158891372,-0.010894939,0.088358694,-0.088358694,-0.021872251,0.088358694,-0.654544261,-0.010894939,-0.027418623,0.03301876,0.074926986,0.038685041,0.074926986,-0.050270754,-0.081526772,-0.016368031,0.021872251,0.044430836,0.204994309,0.654544261,-0.005442372,-0.158891372
5,6,Milwaukee Bucks*,2022,East,1,82,,,242.3,42.6,92.2,0.462,14,37.6,0.372,28.6,54.6,0.525,16.9,23.2,0.729,11.2,35.8,27,7.6,5.1,16.2,21,116.2,0.4375,0.109175966,0.181718675,0.748580081,0.025014552,0.213594207,0.136009795,0.181718675,-0.012460172,-0.018719562,0.037762436,-0.057492957,0.025014552,-0.261841406,0.261841406,0.101052843,0.234445041,-0.018719562,0.050814041,0.234445041,0.03135775,0.168674589,-0.037762436
6,7,Boston Celtics*,2022,East,1,82,,,241.2,41.6,89.7,0.464,12.2,33.2,0.366,29.5,56.5,0.522,20.8,26.2,0.792,11,37,23.8,7.1,5,14.8,22,116.2,0.6875,-0.067538755,0.055410149,0.049545757,0.043790061,0.010737814,-0.005363883,0.061401075,0.049545757,0.049545757,0,0.645104526,0.645104526,0.087084399,0.16929808,0.184069271,-0.049545757,-0.101398142,0.005363883,0.005363883,0.135199122,0.145358851,0.156599866
7,8,Philadelphia 76ers*,2022,East,1,82,,,241.2,41.9,91,0.461,12.3,33.1,0.372,29.6,57.9,0.511,19.5,24.8,0.787,10.1,31.6,25.3,8.1,4.3,14.1,22.6,115.6,0.375,-0.129956399,0.181035391,0.2796959,0,0.051997365,-0.031040744,0.301325581,0.129956399,0.225531198,-0.242202268,0.242202268,0.242202268,0.095334719,-0.041479085,-0.43418495,0.073363282,0.106618837,-0.195107794,-0.142093414,0.43418495,0.225531198,-0.142093414
8,9,Utah Jazz*,2022,West,1,82,,,240.4,42.8,91,0.47,10.9,31.1,0.352,31.8,59.9,0.531,16.2,21.3,0.761,10.4,36.3,27,8,5.6,15.3,20.8,112.6,0.492307692,-0.776638664,0.221600232,0.174996918,0.104840547,-0.122072803,-0.14110777,-0.066708049,0.243232606,0.188529929,0.122072803,-0.131323583,-0.14110777,-0.045901096,0.012927209,0.151538333,0.243232606,0.045901096,0.131323583,0.122072803,0.019421216,0.025952157,0.019421216
9,10,Denver Nuggets*,2022,West,1,82,,,241.2,40.8,87.8,0.464,11.2,31.7,0.353,29.6,56.1,0.527,19.8,24,0.826,9.8,33.3,27.2,7.8,4,15.1,22.1,112.6,0.4,-0.067910862,0.010796974,-0.094603032,0.044031324,-0.061739366,-0.061739366,-0.038337194,0.067910862,0.027172081,0.049818731,0.170230831,0.080793701,0.648658745,-0.067910862,-0.101956798,0.648658745,0.02167558,-0.203151046,0.067910862,0.157462656,0.02167558,-0.061739366
